    k     n             Re[I(theta1)]             Im[I(theta1)]
    0     0    9.9999999912331816e-01    5.9217626400767823e-05
    0     1    1.1011581410198006e+00    6.2188365904216575e-05
    0     2    1.4354997923561168e+00    7.1701637519544029e-05
    0     3    2.1061061049213263e+00    8.9713109012190510e-05
    0     4    3.3234482761844522e+00    1.2003399920087359e-04
    0     5    5.4778449700822192e+00    1.6932392712035930e-04
    0     6    9.2752600773375971e+00    2.4886322798050426e-04
    0     7    1.5985589781321810e+01    3.7762522278244476e-04
    0     8    2.7893890067813043e+01    5.8756428936496217e-04
    0     9    4.9119962406033899e+01    9.3271977049431010e-04
    0    10    8.7108510642430574e+01    1.5049298534485916e-03
    0    11    1.5534229015960631e+02    2.4610431205304394e-03
    0    12    2.7828896002696564e+02    4.0701974786887911e-03
    0    13    5.0043265614382551e+02    6.7962281767738469e-03
    0    14    9.0278346463912499e+02    1.1441738667780650e-02
    0    15    1.6330905219557483e+03    1.9400681958710461e-02
    0    16    2.9611910469847558e+03    3.3102339226838223e-02
    0    17    5.3805046793238580e+03    5.6793634672110099e-02
    0    18    9.7943102624301628e+03    9.7920757422331250e-02
    0    19    1.7857908157604448e+04    1.6957439492583037e-01
    0    20    3.2607599725430267e+04    2.9482599769503226e-01
    0    21    5.9617727748908241e+04    5.1443187275972635e-01
    0    22    1.0913051887839870e+05    9.0054478059311638e-01
    0    23    1.9997904865901123e+05    1.5811577979570171e+00
    0    24    3.6681714128426946e+05    2.7837483838419592e+00
    0    25    6.7345106573949475e+05    4.9133181047651071e+00
    0    26    1.2374352597971978e+06    8.6921279052140648e+00
    0    27    2.2754708702119715e+06    1.5410230260722969e+01
    0    28    4.1872397791437088e+06    2.7375205372208214e+01
    0    29    7.7102805531316819e+06    4.8720440001124459e+01
    0    30    1.4206223474205345e+07    8.6859406238394655e+01
    0    31    2.6189999818230607e+07    1.5510500924321332e+02
    0    32    4.8308631569122449e+07    2.7739212375711463e+02
    0    33    8.9152157326947674e+07    4.9680021827413293e+02
    0    34    1.6460524587129453e+08    8.9094793269826164e+02
    0    35    3.0405220387617731e+08    1.5998248285810780e+03
    0    36    5.6186801956923592e+08    2.8761501002642353e+03
    0    37    1.0387046271362654e+09    5.1765640364443925e+03
    0    38    1.9209327061866641e+09    9.3268867298260229e+03
    0    39    3.5537431505338602e+09    1.6821821149682663e+04
    0    40    6.5766668688422289e+09    3.0368856300162566e+04
    0    41    1.2174868792223310e+10    5.4876008452966969e+04
    0    42    2.2545227346799625e+10    9.9246738245744709e+04
    0    43    4.1760968393710281e+10    1.7964368104396141e+05
    0    44    7.7376001028302719e+10    3.2542667834060773e+05
    0    45    1.4340237399367725e+11    5.8996261854277051e+05
    0    46    2.6583714692228333e+11    1.0703149726880991e+06
    0    47    4.9292349029779431e+11    1.9431262619008471e+06
    0    48    9.1420468460911401e+11    3.5300442287040278e+06
